FlightNumber,Year,Month,DayofMonth,DayOfWeek,ScheduledDepTime,ScheduledArrTime,ScheduledTravelTime,Origin,Destination,Distance,WeatherStationID,GroundHeight,StationHeight,BarometerHeight,Latitude,Longitude,Origin_TimeZone,Destination_TimeZone,ScheduledDepDate,ScheduledDepTimeStamp,Diff_TimeZone,ScheduledArrivalTimestamp,ScheduledArrivalTimestamp1,YearMonthDay,Time,SkyConditions,Visibility,DBT,DewPointTemp,RelativeHumidityPercent,WindSpeed,WindDirection,WindGustValue,StationPressure,HourlyPrecip,Timestamp,dest_YearMonthDay,dest_Time,dest_SkyConditions,dest_Visibility,dest_DBT,dest_DewPointTemp,dest_RelativeHumidityPercent,dest_WindSpeed,dest_WindDirection,dest_WindGustValue,dest_StationPressure,dest_HourlyPrecip,dest_Timestamp
DEN_XNA_62349,2005,9,12,1,15:16,17:56,100,DEN,XNA,616,3017,5379,5431,5382,39.5,-104.4,+7,+6,12-9-2005,2005-09-12 15:16:00,60,2005-09-12 17:56:00,12-09-2005 17:56,12-09-2005,09:53,FEW080 SCT120,10SM,78.0,30.0,17.0,7.0,220,0.0,24.59,0.0,2005-09-12 09:53:00,12-09-2005,09:53,FEW080 SCT120,10SM,78.0,30.0,17.0,7.0,220,0.0,24.59,0.0,2005-09-12 09:53:00
RIC_EWR_87213,2005,11,14,1,13:00,14:15,75,RIC,EWR,278,13740,164,163,167,37.31,-77.19,+5,+5,14-11-2005,2005-11-14 13:00:00,0,2005-11-14 14:15:00,14-11-2005 14:15,14-11-2005,09:54,SCT100 BKN250,10SM,68.0,54.0,61.0,5.0,220,0.0,30.12,0.0,2005-11-14 09:54:00,14-11-2005,09:54,SCT100 BKN250,10SM,68.0,54.0,61.0,5.0,220,0.0,30.12,0.0,2005-11-14 09:54:00
IAD_GSO_86576,2005,9,28,3,10:40,11:44,64,IAD,GSO,239,93738,306,323,309,38.56,-77.27,+5,+5,28-9-2005,2005-09-28 10:40:00,0,2005-09-28 11:44:00,28-09-2005 11:44,28-09-2005,09:51,CLR,10SM,70.0,47.0,44.0,3.0,VRB,0.0,29.88,0.0,2005-09-28 09:51:00,28-09-2005,09:51,CLR,10SM,70.0,47.0,44.0,3.0,VRB,0.0,29.88,0.0,2005-09-28 09:51:00
SAV_CVG_87264,2005,11,18,5,11:20,13:02,102,SAV,CVG,515,3822,48,51,51,32.07,-81.12,+5,+5,18-11-2005,2005-11-18 11:20:00,0,2005-11-18 13:02:00,18-11-2005 13:02,18-11-2005,09:53,CLR,10SM,47.0,25.0,42.0,10.0,010,0.0,30.29,0.0,2005-11-18 09:53:00,18-11-2005,09:53,CLR,10SM,47.0,25.0,42.0,10.0,010,0.0,30.29,0.0,2005-11-18 09:53:00
SBP_LAX_68158,2005,7,5,2,06:30,07:33,63,SBP,LAX,155,93206,193,207,196,35.14,-120.38,+8,+8,5-7-2005,2005-07-05 06:30:00,0,2005-07-05 07:33:00,05-07-2005 07:33,05-07-2005,00:56,OVC007,8SM,56.0,52.0,87.0,7.0,310,0.0,29.78,0.0,2005-07-05 00:56:00,05-07-2005,06:56,OVC007,3SM,55.0,51.0,87.0,3.0,210,0.0,29.79,0.0,2005-07-05 06:56:00
LGA_PWM_89349,2005,9,15,4,13:10,14:27,77,LGA,PWM,270,14732,36,31,39,40.47,-73.53,+5,+5,15-9-2005,2005-09-15 13:10:00,0,2005-09-15 14:27:00,15-09-2005 14:27,15-09-2005,09:51,FEW014 SCT035TCU BKN080,10SM,79.0,73.0,82.0,5.0,VRB,0.0,30.01,,2005-09-15 09:51:00,15-09-2005,09:51,FEW014 SCT035TCU BKN080,10SM,79.0,73.0,82.0,5.0,VRB,0.0,30.01,,2005-09-15 09:51:00
STL_LIT_83427,2005,9,18,7,12:30,13:35,65,STL,LIT,296,13994,707,710,710,38.45,-90.22,+6,+6,18-9-2005,2005-09-18 12:30:00,0,2005-09-18 13:35:00,18-09-2005 13:35,18-09-2005,09:51,FEW023 SCT060 OVC120,5SM,66.0,62.0,87.0,6.0,120,0.0,29.32,0.09,2005-09-18 09:51:00,18-09-2005,09:51,FEW023 SCT060 OVC120,5SM,66.0,62.0,87.0,6.0,120,0.0,29.32,0.09,2005-09-18 09:51:00
ORD_STL_101923,2005,3,4,5,16:16,17:35,79,ORD,STL,258,94846,655,674,658,41.59,-87.55,+6,+6,4-3-2005,2005-03-04 16:16:00,0,2005-03-04 17:35:00,04-03-2005 17:35,04-03-2005,09:56,BKN220,8SM,37.0,23.0,57.0,7.0,180,0.0,29.17,0.0,2005-03-04 09:56:00,04-03-2005,09:56,BKN220,8SM,37.0,23.0,57.0,7.0,180,0.0,29.17,0.0,2005-03-04 09:56:00
ONT_PHX_70779,2005,9,6,2,10:45,11:55,70,ONT,PHX,325,3102,901,905,904,34.04,-117.36,+8,+7,6-9-2005,2005-09-06 10:45:00,60,2005-09-06 12:55:00,06-09-2005 11:55,06-09-2005,09:53,CLR,6SM,83.0,42.0,24.0,0.0,000,0.0,29.02,0.0,2005-09-06 09:53:00,06-09-2005,09:53,CLR,6SM,83.0,42.0,24.0,0.0,000,0.0,29.02,0.0,2005-09-06 09:53:00
LGA_MIA_65916,2005,9,2,5,14:20,17:19,179,LGA,MIA,1097,14732,36,31,39,40.47,-73.53,+5,+5,2-9-2005,2005-09-02 14:20:00,0,2005-09-02 17:19:00,02-09-2005 17:19,02-09-2005,09:51,FEW055,10SM,81.0,57.0,44.0,8.0,310,0.0,29.91,0.0,2005-09-02 09:51:00,02-09-2005,09:51,FEW055,10SM,81.0,57.0,44.0,8.0,310,0.0,29.91,0.0,2005-09-02 09:51:00
SMF_LAX_68139,2005,3,22,2,15:50,17:05,75,SMF,LAX,373,93225,19,33,22,38.42,-121.35,+8,+8,22-3-2005,2005-03-22 15:50:00,0,2005-03-22 17:05:00,22-03-2005 17:05,22-03-2005,09:53,FEW012 SCT022 BKN035,10SM,57.0,52.0,83.0,18.0,180,0.0,29.69,0.0,2005-03-22 09:53:00,22-03-2005,09:53,FEW012 SCT022 BKN035,10SM,57.0,52.0,83.0,18.0,180,0.0,29.69,0.0,2005-03-22 09:53:00
SNA_SEA_64562,2005,3,8,2,09:45,12:27,162,SNA,SEA,978,93184,49,55,52,33.41,-117.52,+8,+8,8-3-2005,2005-03-08 09:45:00,0,2005-03-08 12:27:00,08-03-2005 12:27,08-03-2005,08:53,OVC007,3SM,58.0,54.0,87.0,0,000,0.0,30.13,0.0,2005-03-08 08:53:00,08-03-2005,09:53,OVC009,3SM,59.0,54.0,83.0,4,VRB,0.0,30.13,0.0,2005-03-08 09:53:00
MCO_EWR_96399,2005,11,11,5,07:30,10:00,150,MCO,EWR,938,12815,95,106,98,28.26,-81.19,+5,+5,11-11-2005,2005-11-11 07:30:00,0,2005-11-11 10:00:00,11-11-2005 10:00,11-11-2005,06:53,FEW042 SCT080,10SM,57.0,46.0,67.0,4,310,0.0,29.97,0.0,2005-11-11 06:53:00,11-11-2005,09:53,CLR,10SM,71.0,52.0,51.0,3.0,350,0.0,30.01,0.0,2005-11-11 09:53:00
ORD_LAS_66622,2005,3,17,4,09:14,11:14,240,ORD,LAS,1515,94846,655,674,658,41.59,-87.55,+6,+8,17-3-2005,2005-03-17 09:14:00,-120,2005-03-17 11:14:00,17-03-2005 11:14,17-03-2005,09:03,SCT010 BKN033,0.75SM,,,,5.0,070,0.0,,,2005-03-17 09:03:00,17-03-2005,09:56,OVC010,0.75SM,32.0,29.0,88.0,6.0,080,0.0,29.31,,2005-03-17 09:56:00
TPA_IAH_69434,2005,7,1,5,09:30,10:42,132,TPA,IAH,787,12842,8,11,40,27.58,-82.32,+5,+6,1-7-2005,2005-07-01 09:30:00,-60,2005-07-01 10:42:00,01-07-2005 10:42,01-07-2005,08:53,FEW019 SCT030TCU BKN130 BKN250,10SM,84.0,77.0,80.0,7.0,270,0.0,29.96,0.0,2005-07-01 08:53:00,01-07-2005,09:53,SCT030TCU SCT150,10SM,85.0,75.0,72.0,8.0,260,0.0,29.96,0.0,2005-07-01 09:53:00
PHL_STT_96229,2005,3,26,6,07:45,12:41,236,PHL,STT,1605,13739,59,28,62,39.52,-75.14,+5,+4,26-3-2005,2005-03-26 07:45:00,60,2005-03-26 12:41:00,26-03-2005 12:41,26-03-2005,06:54,OVC090,10SM,40.0,26.0,58.0,7.0,050,0.0,30.15,0.0,2005-03-26 06:54:00,26-03-2005,09:54,BKN070 BKN200,10SM,45.0,26.0,48.0,6.0,VRB,0.0,30.18,0.0,2005-03-26 09:54:00
OAK_LAX_87163,2005,9,26,1,14:00,15:10,70,OAK,LAX,337,23230,85,88,88,37.43,-122.13,+8,+8,26-9-2005,2005-09-26 14:00:00,0,2005-09-26 15:10:00,26-09-2005 15:10,26-09-2005,09:53,SCT120,10SM,66.0,54.0,65.0,7.0,270,0.0,29.89,0.0,2005-09-26 09:53:00,26-09-2005,09:53,SCT120,10SM,66.0,54.0,65.0,7.0,270,0.0,29.89,0.0,2005-09-26 09:53:00
ORD_ROC_68704,2005,7,3,7,11:14,13:49,95,ORD,ROC,528,94846,655,674,658,41.59,-87.55,+6,+5,3-7-2005,2005-07-03 11:14:00,60,2005-07-03 13:49:00,03-07-2005 13:49,03-07-2005,09:56,FEW100 BKN250,10SM,78.0,56.0,47.0,7.0,190,0.0,29.25,0.0,2005-07-03 09:56:00,03-07-2005,09:56,FEW100 BKN250,10SM,78.0,56.0,47.0,7.0,190,0.0,29.25,0.0,2005-07-03 09:56:00
RDU_PHL_91819,2005,7,5,2,11:10,12:25,75,RDU,PHL,336,13722,427,437,430,35.52,-78.47,+5,+5,5-7-2005,2005-07-05 11:10:00,0,2005-07-05 12:25:00,05-07-2005 12:25,05-07-2005,09:51,SCT016 BKN025,4SM,87.0,74.0,65.0,4.0,VRB,0.0,29.59,0.0,2005-07-05 09:51:00,05-07-2005,09:51,SCT016 BKN025,4SM,87.0,74.0,65.0,4.0,VRB,0.0,29.59,0.0,2005-07-05 09:51:00
STL_PHX_64262,2005,11,11,5,16:50,19:20,210,STL,PHX,1262,13994,707,710,710,38.45,-90.22,+6,+7,11-11-2005,2005-11-11 16:50:00,-60,2005-11-11 19:20:00,11-11-2005 19:20,11-11-2005,09:51,FEW150 SCT250,10SM,58.0,32.0,38.0,8.0,220,0.0,29.38,0.0,2005-11-11 09:51:00,11-11-2005,09:51,FEW150 SCT250,10SM,58.0,32.0,38.0,8.0,220,0.0,29.38,0.0,2005-11-11 09:51:00
ATL_CRP_81399,2005,7,6,3,11:17,12:42,145,ATL,CRP,876,13874,971,1026,974,33.38,-84.26,+5,+6,6-7-2005,2005-07-06 11:17:00,-60,2005-07-06 12:42:00,06-07-2005 12:42,06-07-2005,09:51,FEW015 SCT040 SCT090 OVC150,10SM,73.0,70.0,90.0,8.0,310,0.0,29.05,,2005-07-06 09:51:00,06-07-2005,09:51,FEW015 SCT040 SCT090 OVC150,10SM,73.0,70.0,90.0,8.0,310,0.0,29.05,,2005-07-06 09:51:00
LAX_MCI_58834,2005,9,9,5,12:40,17:50,190,LAX,MCI,1363,23174,323,326,326,33.56,-118.25,+8,+6,9-9-2005,2005-09-09 12:40:00,120,2005-09-09 17:50:00,09-09-2005 17:50,09-09-2005,09:50,OVC029,9SM,68.0,56.0,66.0,6.0,160,0.0,29.62,0.0,2005-09-09 09:50:00,09-09-2005,09:50,OVC029,9SM,68.0,56.0,66.0,6.0,160,0.0,29.62,0.0,2005-09-09 09:50:00
TUL_IAH_72277,2005,7,6,3,06:45,08:20,95,TUL,IAH,429,13968,739,676,742,36.12,-95.53,+6,+6,6-7-2005,2005-07-06 06:45:00,0,2005-07-06 08:20:00,06-07-2005 08:20,06-07-2005,05:53,SCT200,10SM,67.0,65.0,93.0,3.0,320,0.0,29.24,0.0,2005-07-06 05:53:00,06-07-2005,07:53,SCT150 SCT200,10SM,75.0,67.0,76.0,3.0,VRB,0.0,29.26,0.0,2005-07-06 07:53:00
AUS_LBB_71832,2005,7,8,5,07:40,08:45,65,AUS,LBB,341,13904,658,495,661,30.11,-97.41,+6,+6,8-7-2005,2005-07-08 07:40:00,0,2005-07-08 08:45:00,08-07-2005 08:45,08-07-2005,06:53,FEW070 BKN090 BKN180,10SM,74.0,73.0,97.0,3.0,270,0.0,29.28,0.0,2005-07-08 06:53:00,08-07-2005,07:53,FEW060 SCT090,10SM,78.0,73.0,85.0,3.0,VRB,0.0,29.3,0.0,2005-07-08 07:53:00
DFW_DCA_81618,2005,11,9,3,07:25,11:08,163,DFW,DCA,1192,3927,559,596,562,32.54,-97.02,+6,+5,9-11-2005,2005-11-09 07:25:00,60,2005-11-09 11:08:00,09-11-2005 11:08,09-11-2005,06:53,OVC019,10SM,72.0,67.0,84.0,9.0,190,0.0,29.44,0.0,2005-11-09 06:53:00,09-11-2005,09:53,BKN021 BKN300,10SM,79.0,67.0,67.0,14.0,210,0.0,29.5,0.0,2005-11-09 09:53:00
ROC_ORD_59312,2005,3,31,4,07:39,08:30,111,ROC,ORD,528,14768,585,555,588,43.07,-77.41,+5,+6,31-3-2005,2005-03-31 07:39:00,-60,2005-03-31 08:30:00,31-03-2005 08:30,31-03-2005,06:54,FEW200,10SM,51.0,38.0,61.0,10.0,150,0.0,29.23,0.0,2005-03-31 06:54:00,31-03-2005,07:54,FEW200,10SM,52.0,39.0,61.0,11.0,160,0.0,29.23,0.0,2005-03-31 07:54:00
BHM_CVG_100376,2005,9,25,7,16:51,19:14,83,BHM,CVG,396,13876,636,630,639,33.34,-86.45,+6,+5,25-9-2005,2005-09-25 16:51:00,60,2005-09-25 19:14:00,25-09-2005 19:14,25-09-2005,09:53,SCT024 BKN029 BKN036,10SM,81.0,71.0,72.0,13.0,140,0.0,29.35,0.0,2005-09-25 09:53:00,25-09-2005,09:53,SCT024 BKN029 BKN036,10SM,81.0,71.0,72.0,13.0,140,0.0,29.35,0.0,2005-09-25 09:53:00
FLL_IAH_95019,2005,11,26,6,11:54,13:39,165,FLL,IAH,965,12849,117,11,120,26.04,-80.09,+5,+6,26-11-2005,2005-11-26 11:54:00,-60,2005-11-26 13:39:00,26-11-2005 13:39,26-11-2005,09:53,FEW037,10SM,77.0,59.0,54.0,10.0,080,0.0,30.04,0.0,2005-11-26 09:53:00,26-11-2005,09:53,FEW037,10SM,77.0,59.0,54.0,10.0,080,0.0,30.04,0.0,2005-11-26 09:53:00
SLC_MCI_82134,2005,7,27,3,14:01,17:20,139,SLC,MCI,919,24127,4221,4227,4224,40.47,-111.58,+7,+6,27-7-2005,2005-07-27 14:01:00,60,2005-07-27 17:20:00,27-07-2005 17:20,27-07-2005,09:56,CLR,10SM,80.0,38.0,22.0,6.0,150,0.0,25.86,0.0,2005-07-27 09:56:00,27-07-2005,09:56,CLR,10SM,80.0,38.0,22.0,6.0,150,0.0,25.86,0.0,2005-07-27 09:56:00
ORD_ATL_72441,2005,7,18,1,12:05,15:09,124,ORD,ATL,606,94846,655,674,658,41.59,-87.55,+6,+5,18-7-2005,2005-07-18 12:05:00,60,2005-07-18 15:09:00,18-07-2005 15:09,18-07-2005,09:56,SCT039 BKN065 BKN250,10SM,87.0,64.0,46.0,11.0,260,0.0,29.15,0.0,2005-07-18 09:56:00,18-07-2005,09:56,SCT039 BKN065 BKN250,10SM,87.0,64.0,46.0,11.0,260,0.0,29.15,0.0,2005-07-18 09:56:00
MCI_MSP_89419,2005,7,6,3,14:15,15:39,84,MCI,MSP,393,3947,1005,1025,1008,39.18,-94.43,+6,+6,6-7-2005,2005-07-06 14:15:00,0,2005-07-06 15:39:00,06-07-2005 15:39,06-07-2005,09:53,FEW110 OVC250,10SM,79.0,62.0,56.0,5.0,080,0.0,29.02,0.0,2005-07-06 09:53:00,06-07-2005,09:53,FEW110 OVC250,10SM,79.0,62.0,56.0,5.0,080,0.0,29.02,0.0,2005-07-06 09:53:00
ISP_PBI_79823,2005,9,7,3,09:20,12:10,170,ISP,PBI,1052,4781,141,108,144,40.47,-73.06,+5,+5,7-9-2005,2005-09-07 09:20:00,0,2005-09-07 12:10:00,07-09-2005 12:10,07-09-2005,08:56,FEW025,10SM,73.0,55.0,53.0,4,VRB,0.0,30.18,0.0,2005-09-07 08:56:00,07-09-2005,09:56,FEW035,10SM,75.0,55.0,50.0,6,100,0.0,30.17,0.0,2005-09-07 09:56:00
ATL_ALB_100729,2005,7,8,5,09:41,12:01,140,ATL,ALB,852,13874,971,1026,974,33.38,-84.26,+5,+5,8-7-2005,2005-07-08 09:41:00,0,2005-07-08 12:01:00,08-07-2005 12:01,08-07-2005,08:51,SCT250,10SM,77.0,66.0,69.0,0.0,000,0.0,29.03,0.0,2005-07-08 08:51:00,08-07-2005,09:51,FEW030 SCT250,10SM,79.0,66.0,65.0,3.0,320,0.0,29.03,0.0,2005-07-08 09:51:00
HOU_TUL_63213,2005,3,18,5,11:10,12:30,80,HOU,TUL,453,12918,45,47,48,29.39,-95.17,+6,+6,18-3-2005,2005-03-18 11:10:00,0,2005-03-18 12:30:00,18-03-2005 12:30,18-03-2005,09:53,FEW030 SCT250,10SM,62.0,47.0,58.0,14.0,200,0.0,29.93,0.0,2005-03-18 09:53:00,18-03-2005,09:53,FEW030 SCT250,10SM,62.0,47.0,58.0,14.0,200,0.0,29.93,0.0,2005-03-18 09:53:00
BWI_JAX_58520,2005,7,18,1,08:25,10:20,115,BWI,JAX,663,93721,193,155,196,39.1,-76.41,+5,+5,18-7-2005,2005-07-18 08:25:00,0,2005-07-18 10:20:00,18-07-2005 10:20,18-07-2005,07:54,FEW070 BKN150 BKN250,8SM,83.0,73.0,72.0,4.0,310,0.0,29.8,0.0,2005-07-18 07:54:00,18-07-2005,09:54,FEW032 SCT070 SCT150 BKN250,6SM,86.0,72.0,63.0,7.0,310,0.0,29.8,0.0,2005-07-18 09:54:00
MDW_DTW_84359,2005,3,15,2,13:42,16:00,78,MDW,DTW,229,14819,616,618,619,41.47,-87.45,+6,+5,15-3-2005,2005-03-15 13:42:00,60,2005-03-15 16:00:00,15-03-2005 16:00,15-03-2005,09:53,FEW041 SCT250,10SM,33.0,16.0,49.0,11.0,290,0.0,29.62,0.0,2005-03-15 09:53:00,15-03-2005,09:53,FEW041 SCT250,10SM,33.0,16.0,49.0,11.0,290,0.0,29.62,0.0,2005-03-15 09:53:00
PHX_SMF_63315,2005,11,1,2,08:10,09:11,121,PHX,SMF,647,23183,1103,1107,1106,33.26,-111.59,+7,+8,1-11-2005,2005-11-01 08:10:00,-60,2005-11-01 09:11:00,01-11-2005 09:11,01-11-2005,07:51,FEW250,10SM,65.0,29.0,26.0,0.0,000,0.0,28.98,0.0,2005-11-01 07:51:00,01-11-2005,08:51,FEW250,10SM,74.0,22.0,14.0,9.0,050,0.0,28.99,0.0,2005-11-01 08:51:00
