FlightNumber,Year,Month,DayofMonth,DayOfWeek,ScheduledDepTime,ScheduledArrTime,ScheduledTravelTime,Origin,Destination,Distance,ActualArrivalTimeStamp,WeatherStationID,GroundHeight,StationHeight,BarometerHeight,Latitude,Longitude,Origin_TimeZone,Destination_TimeZone,ScheduledDepDate,ScheduledDepTimeStamp,Diff_TimeZone,ScheduledArrivalTimestamp,ScheduledArrivalTimestamp1,TotalDelayTime,FlightDelayStatus,YearMonthDay,Time,SkyConditions,Visibility,DBT,DewPointTemp,RelativeHumidityPercent,WindSpeed,WindDirection,WindGustValue,StationPressure,HourlyPrecip,Timestamp,dest_YearMonthDay,dest_Time,dest_SkyConditions,dest_Visibility,dest_DBT,dest_DewPointTemp,dest_RelativeHumidityPercent,dest_WindSpeed,dest_WindDirection,dest_WindGustValue,dest_StationPressure,dest_HourlyPrecip,dest_Timestamp
BOS_CLE_29089,2004,9,20,1,10:00,11:54,114,BOS,CLE,563,2004-09-20 11:54:00,14739,19,30,180,42.22,-71.01,+5,+5,20-9-2004,2004-09-20 10:00:00,0,2004-09-20 11:54:00,20-09-2004 11:54,0,2,20-09-2004,09:54,FEW250,10SM,61.0,41.0,48.0,8,030,0.0,30.31,0.0,2004-09-20 09:54:00,20-09-2004,09:54,FEW250,10SM,61.0,41.0,48.0,8,030,0.0,30.31,0.0,2004-09-20 09:54:00
CLE_ATL_44346,2004,11,19,5,14:40,16:34,114,CLE,ATL,554,2004-11-19 18:55:00,14820,802,805,805,41.24,-81.51,+5,+5,19-11-2004,2004-11-19 14:40:00,0,2004-11-19 16:34:00,19-11-2004 16:34,141,1,19-11-2004,09:51,SCT006 OVC044,1SM,53.0,50.0,89.0,7.0,100,0.0,29.3,,2004-11-19 09:51:00,19-11-2004,09:51,SCT006 OVC044,1SM,53.0,50.0,89.0,7.0,100,0.0,29.3,,2004-11-19 09:51:00
SNA_LAS_44378,2004,5,4,2,18:00,19:02,62,SNA,LAS,226,2004-05-04 19:02:00,93184,49,55,52,33.41,-117.52,+8,+8,4-5-2004,2004-05-04 18:00:00,0,2004-05-04 19:02:00,04-05-2004 19:02,0,2,04-05-2004,09:53,CLR,10SM,79.0,56.0,45.0,9.0,210,0.0,29.86,0.0,2004-05-04 09:53:00,04-05-2004,09:53,CLR,10SM,79.0,56.0,45.0,9.0,210,0.0,29.86,0.0,2004-05-04 09:53:00
CLT_TPA_51502,2004,7,6,2,14:00,15:33,93,CLT,TPA,508,2004-07-06 15:33:00,13881,721,769,724,35.13,-80.56,+5,+5,6-7-2004,2004-07-06 14:00:00,0,2004-07-06 15:33:00,06-07-2004 15:33,0,2,06-07-2004,09:51,CLR,10SM,87.0,64.0,46.0,5.0,360,0.0,29.3,0.0,2004-07-06 09:51:00,06-07-2004,09:51,CLR,10SM,87.0,64.0,46.0,5.0,360,0.0,29.3,0.0,2004-07-06 09:51:00
MSP_ORD_44884,2004,9,23,4,08:30,09:46,76,MSP,ORD,334,2004-09-23 09:46:00,14922,871,838,874,44.53,-93.14,+6,+6,23-9-2004,2004-09-23 08:30:00,0,2004-09-23 09:46:00,23-09-2004 09:46,0,2,23-09-2004,07:53,BKN060 BKN250,9SM,65.0,57.0,76.0,5.0,130,0.0,29.05,0.0,2004-09-23 07:53:00,23-09-2004,08:53,FEW065 SCT220 BKN250,10SM,68.0,58.0,70.0,10.0,130,0.0,29.02,0.0,2004-09-23 08:53:00
CVG_GRR_45655,2004,9,26,7,17:30,18:32,62,CVG,GRR,268,2004-09-26 18:32:00,93814,882,883,885,39.02,-84.4,+5,+5,26-9-2004,2004-09-26 17:30:00,0,2004-09-26 18:32:00,26-09-2004 18:32,0,2,26-09-2004,09:51,FEW120 SCT250,10SM,65.0,52.0,63.0,9,060,0.0,29.25,0.0,2004-09-26 09:51:00,26-09-2004,09:51,FEW120 SCT250,10SM,65.0,52.0,63.0,9,060,0.0,29.25,0.0,2004-09-26 09:51:00
DFW_STL_53369,2004,5,5,3,13:30,15:17,107,DFW,STL,551,2004-05-05 15:17:00,3927,559,596,562,32.54,-97.02,+6,+6,5-5-2004,2004-05-05 13:30:00,0,2004-05-05 15:17:00,05-05-2004 15:17,0,2,05-05-2004,09:53,SCT020,10SM,71.0,60.0,68.0,11.0,180,0.0,29.49,0.0,2004-05-05 09:53:00,05-05-2004,09:53,SCT020,10SM,71.0,60.0,68.0,11.0,180,0.0,29.49,0.0,2004-05-05 09:53:00
ACV_SFO_50785,2004,9,15,3,06:55,07:58,63,ACV,SFO,250,2004-09-15 07:58:00,24283,222,210,225,40.59,-124.07,+8,+8,15-9-2004,2004-09-15 06:55:00,0,2004-09-15 07:58:00,15-09-2004 07:58,0,2,15-09-2004,06:53,OVC013,10SM,58.0,52.0,81.0,0.0,000,0.0,29.8,0.0,2004-09-15 06:53:00,15-09-2004,07:53,OVC013,10SM,59.0,52.0,78.0,0.0,000,0.0,29.81,0.0,2004-09-15 07:53:00
BHM_DFW_34260,2004,5,28,5,14:25,16:25,120,BHM,DFW,597,2004-05-28 18:39:00,13876,636,630,639,33.34,-86.45,+6,+6,28-5-2004,2004-05-28 14:25:00,0,2004-05-28 16:25:00,28-05-2004 16:25,134,1,28-05-2004,09:53,FEW025 SCT037TCU BKN070,9SM,80.0,69.0,69.0,5.0,260,0.0,29.27,0.0,2004-05-28 09:53:00,28-05-2004,09:53,FEW025 SCT037TCU BKN070,9SM,80.0,69.0,69.0,5.0,260,0.0,29.27,0.0,2004-05-28 09:53:00
DFW_PIT_33678,2004,9,11,6,08:47,12:23,156,DFW,PIT,1068,2004-09-11 12:23:00,3927,559,596,562,32.54,-97.02,+6,+5,11-9-2004,2004-09-11 08:47:00,60,2004-09-11 10:23:00,11-09-2004 12:23,0,2,11-09-2004,07:53,FEW090 BKN300,9SM,75.0,63.0,66.0,3.0,110,0.0,29.51,0.0,2004-09-11 07:53:00,11-09-2004,09:53,SCT095 BKN300,10SM,83.0,62.0,49.0,7.0,140,0.0,29.52,0.0,2004-09-11 09:53:00
